ds,yhat,yhat_lower,yhat_upper
2019-07-01,15164.385178356268,10945.132130221691,18985.875663628893
2019-07-02,16814.272697023443,13091.15723344332,20803.374968871165
2019-07-03,16814.84496309585,12998.019142746054,20738.226202447993
2019-07-04,16484.454984068765,12399.003619356274,20290.497156141228
2019-07-05,15761.630934668838,11816.07634137111,19752.760014079606
2019-07-06,6409.926607044938,2713.0737871740334,10345.490194595382
2019-07-07,5274.019208615342,1659.090093331806,9172.830334900998
2019-07-08,14476.881470471308,10479.197650702148,18336.0246274532
2019-07-09,16267.553032382315,12261.404257203714,20403.195330086906
2019-07-10,16420.40052649304,12807.24606764273,20271.361339061397
2019-07-11,16251.045126705794,12320.33982686928,20270.312149277073
2019-07-12,15695.069951566777,11412.580684735261,19616.146514473527
2019-07-13,6512.931014174642,2710.134403438471,10207.0763504636
2019-07-14,5546.118966078464,1451.6281862617195,9371.774294985033
2019-07-15,14914.397240725555,10824.021772982367,18960.472837714125
2019-07-16,16863.640162184696,13034.840024183919,20831.552786832275
2019-07-17,17165.1590260029,12923.844542531322,21158.172985061927
2019-07-18,17131.693520366578,13070.514135731015,20748.286769837956
2019-07-19,16696.179520476388,12761.35867693421,20646.569410777567
2019-07-20,7616.715668588597,3253.240724815,11610.054673252389
2019-07-21,6732.774804796484,2506.1107220978015,10977.81512262958
2019-07-22,16162.48479734729,12419.979722397484,20027.717547850076
2019-07-23,18150.50142717282,14350.192484745878,22323.885656591345
2019-07-24,18467.36058829465,14475.399323297352,22724.73546868993
2019-07-25,18425.486607752136,14449.502622510707,22323.641117580853
2019-07-26,17957.967346383186,13921.914638510101,21876.518768366273
2019-07-27,8823.518321732818,5071.426426655666,12953.019809786672
2019-07-28,7862.6819516928945,3945.541743807636,11937.98720589169
2019-07-29,17195.08670465534,13223.142006872653,21288.293173396196
2019-07-30,19067.2892480389,15219.731819172595,23063.61155251128
2019-07-31,19252.08748343066,15535.625964038521,23451.887300084443
2019-08-01,19064.482078226552,14911.71925354917,23381.765965869912
2019-08-02,18440.39812166687,14642.992605949781,22216.46702306426
2019-08-03,9141.590256296993,5047.158411128764,12900.099994798818
2019-08-04,8011.778611955225,4123.349039181375,12005.93399400454
2019-08-05,17173.841651957217,13155.856324676126,21357.119212703965
2019-08-06,18877.590413242437,15014.357483269832,22853.58719488716
2019-08-07,18899.013458592166,14830.878046280515,22645.83465220479
2019-08-08,18556.171588554505,14156.393356544006,22415.239731098947
2019-08-09,17787.855358627778,13643.821376772643,21811.875417711806
2019-08-10,8358.430119377605,4829.623497656649,12305.798019528112
2019-08-11,7113.917194580677,3138.0712354801835,11081.445721107148
2019-08-12,16179.138487667093,12003.626736741382,20092.018229553807
2019-08-13,17805.450047433147,13952.224683286486,21760.40011040027
2019-08-14,17769.95480630565,13723.891981385426,21738.542521345025
2019-08-15,17391.37425808919,13465.83501729341,21306.243907123848
2019-08-16,16608.69265130506,12968.608889801286,20639.00018369635
2019-08-17,7185.998742159642,3218.526417766878,11158.274513979153
2019-08-18,5968.573837933394,1912.9783959719277,9836.934579061719
2019-08-19,15080.053321190502,10916.218441726709,19032.440474993036
2019-08-20,16770.18687185599,12664.046243675582,21083.455917369592
2019-08-21,16814.087075532414,12768.047532135872,20801.667465296374
2019-08-22,16528.14546139305,12599.315618105793,20483.96666870668
2019-08-23,15848.728633861796,11957.00455734587,19693.305815036478
2019-08-24,6537.0784627413,2335.5984941350494,10611.34982795737
2019-08-25,5435.463834760706,1363.123631872779,9530.224962717706
2019-08-26,14664.40980757546,10934.763534172962,18787.406871005165
2019-08-27,16470.527938166422,12755.479193748102,20515.615112243337
2019-08-28,16625.835964867878,12773.463505889371,20617.266994458092
2019-08-29,16443.744343462506,12273.560499731435,20055.766730673895
2019-08-30,15857.820758859401,11929.937854266258,19819.68021272925
2019-08-31,6626.755066744828,2710.2469887485686,10633.834895764841
2019-09-01,5590.570723091837,1507.3212557234247,9471.965232569974
2019-09-02,14867.907199648733,10836.799216924834,18892.172882731596
2019-09-03,16703.895929578102,12806.735268112137,20838.735230867904
2019-09-04,16869.51690711239,12827.774998507326,21198.59215991382
2019-09-05,16677.61255305439,12554.560861518024,20842.63814731157
2019-09-06,16061.669286027163,11915.74708585402,19725.449076031608
2019-09-07,6780.788788826521,3111.116461550154,10570.722152725884
2019-09-08,5675.894794644097,2017.415281888335,9982.249640345848
2019-09-09,14866.999891484329,10974.872366762042,18821.460064047897
2019-09-10,16601.055142117897,12874.66318758893,20410.822240447822
2019-09-11,16651.270118399396,12970.954820845132,20598.94928659567
2019-09-12,16333.080679193914,12578.128381228618,20363.311980671762
2019-09-13,15582.87586133591,11523.76267328213,19998.802798590827
2019-09-14,6162.90700243285,2228.6111250171116,10149.521042994613
2019-09-15,4917.426225723286,767.9548046346669,8741.350542290265
2019-09-16,13969.880240791952,9714.516609480017,17860.543739050827
2019-09-17,15570.683831220083,11325.4878929082,19597.48817269622
2019-09-18,15496.46228780062,11609.013530581382,19360.38676913701
2019-09-19,15065.941825630902,11058.789443220749,18981.94432671266
2019-09-20,14218.601075600058,10319.865644547215,18306.25844824349
2019-09-21,4719.5084644859635,1000.1602538351591,8729.941564666906
2019-09-22,3415.394244792871,-504.0549454825607,7360.2607256402
2019-09-23,12431.784658410634,8503.449117118847,16227.14719296261
2019-09-24,14020.7239981577,9974.673124558582,17938.26671110378
2019-09-25,13959.975050362584,10035.058490833713,17795.73166669196
2019-09-26,13568.87798236989,9614.659897530655,17844.019138041174
2019-09-27,12786.98156763598,8781.372017621057,16537.21066570096
2019-09-28,3378.872120526381,-552.0327025609101,7075.752617312278
2019-09-29,2190.249200982622,-1989.1691956330199,6437.977953737203
2019-09-30,11345.075602544497,7462.240072252128,15310.104041394454
2019-10-01,13093.327146440368,9228.52197932245,17116.45249982426
2019-10-02,13210.232252486205,9138.853059684818,17090.40691329778
2019-10-03,13012.18057851207,8724.0014013118,16903.401794450092
2019-10-04,12435.41360249624,8561.132244214325,16403.560288612334
2019-10-05,3240.9212758209997,-772.3393012554665,7115.148568702151
2019-10-06,2270.5923648080698,-1551.7704928371247,5808.02727640707
2019-10-07,11644.444382472513,7810.915081134156,15421.75580853178
2019-10-08,13608.456888561595,9652.269700559753,17390.006826714784
2019-10-09,13933.896288302636,9988.263237293082,17674.832156060584
2019-10-10,13933.309528101487,9961.652469239756,17947.336400137952
2019-10-11,13539.297657081952,9395.969738288872,17425.390001469965
2019-10-12,4509.491509982423,594.650349476122,8667.212861692626
2019-10-13,3682.7753308483934,-307.26392831141146,7782.18535764432
2019-10-14,13176.58255884885,9202.807457493,17568.031904625943
2019-10-15,15234.786029630512,11325.349728070229,19173.955875664222
2019-10-16,15627.069391647565,11754.79870628029,19673.719316533843
2019-10-17,15664.956028264847,11982.621772623621,19791.04606486041
2019-10-18,15280.60559994802,11160.1082220486,19396.82044900885
2019-10-19,6231.799880443412,2437.540236487998,10488.971333475523
2019-10-20,5358.163413806158,1410.403697253557,9322.860134899394
2019-10-21,14778.44321847025,10536.659873562017,18460.05745942914
2019-10-22,16738.370096745068,12810.880079116836,20578.803538480126
2019-10-23,17009.988947725535,13074.592652663263,20666.610846185114
2019-10-24,16907.635256766494,12914.783982339837,20678.071683231006
2019-10-25,16366.669021154717,12285.998728245846,20462.994658624957
2019-10-26,7148.389170822083,2870.0343583279964,11060.63330574639
2019-10-27,6096.17560411754,2329.4820551855832,10519.444501184305
2019-10-28,15332.684830324453,11450.687114253185,19250.54126526038
2019-10-29,17107.62367593203,13387.986355694913,21265.564042718677
2019-10-30,17196.990439156558,13467.0093850304,21160.127027200524
2019-10-31,16918.96269724033,12783.750448415547,20881.60799520138
2019-11-01,16212.545052254522,11909.731920901431,20060.221486927538
2019-11-02,6842.401850127007,2925.512522966184,10942.260432895455
2019-11-03,5654.923872003538,1724.4613796449155,9733.52611642749
2019-11-04,14775.356724937641,10860.55712158694,18774.14336877247
2019-11-05,16455.516944667637,12243.081599632511,20196.345874345225
2019-11-06,16472.986528987134,12255.306174480947,20318.91770997492
2019-11-07,16146.966189092509,12006.953664269966,20362.92936887506
2019-11-08,15416.90141032257,11361.435249439412,19338.586001455245
2019-11-09,6047.306865039508,2094.8241006090907,9879.16152062591
2019-11-10,4883.838374172543,1154.8619622396952,8709.77993641002
2019-11-11,14050.440028731136,9688.285615951743,17753.98627447479
2019-11-12,15797.092051857122,11892.35199035967,19672.23949974399
2019-11-13,15899.04938710629,11960.22386711003,19928.177783427167
2019-11-14,15672.750278928044,11723.171830269106,19618.72451620246
2019-11-15,15054.507653266677,11288.64249883935,19114.40819883211
2019-11-16,5805.40732386036,1899.271692712399,9951.807857065303
2019-11-17,4767.460506625011,884.787656221459,8530.833450787566
2019-11-18,14060.836381891533,10095.56415026974,18042.70720613021
2019-11-19,15931.698301188691,11894.33683929134,19774.779969685827
2019-11-20,16151.53157401097,12172.693093917804,20001.119344847906
2019-11-21,16033.140033342868,12071.183473097395,20171.75212564237
2019-11-22,15509.422152187515,11248.61134371677,19474.751990629178
2019-11-23,6338.348781107067,2244.674153779702,10232.829359779265
2019-11-24,5359.188159328443,1437.567897127505,9183.770779703214
2019-11-25,14689.802279616197,10489.331045744335,18489.76736300848
2019-11-26,16574.53675163613,12696.035242849282,20899.8834137333
2019-11-27,16783.590890967425,12805.776920292652,20786.30670078942
2019-11-28,16629.044294409166,12833.480879507235,20377.580214423248
2019-11-29,16043.650028349166,11888.249478794804,20075.982078551384
2019-11-30,6785.8161618106005,2974.885574469357,11386.576391692292
2019-12-01,5695.821272019053,1550.5588730198126,9643.055967617556
2019-12-02,14893.088291752883,11074.618586054834,19024.98566455104
2019-12-03,16624.03943683868,12696.425980056852,20590.550775125324
2019-12-04,16661.419824975357,12777.53049690254,20664.71571571519
2019-12-05,16320.267196678546,12335.75976281759,20358.430709843517
