ds,yhat,yhat_lower,yhat_upper
2019-07-01,22189.07441089545,17509.2592451047,26501.102632544633
2019-07-02,24132.42954682813,19545.968509506332,28654.83942237068
2019-07-03,24039.816436891204,19589.88531351086,28999.30844235534
2019-07-04,23657.187586883207,19202.54809423463,28328.5830068486
2019-07-05,22746.12152895498,17851.710356424388,27358.13377283245
2019-07-06,14347.24096667797,9474.89370048175,18822.502300422453
2019-07-07,12679.97762814529,8226.33182524073,17343.78769428478
2019-07-08,21392.555551773643,16568.756040430504,25866.08829192833
2019-07-09,23443.073087546643,18970.89168460074,27997.187783683657
2019-07-10,23469.3070735154,18773.224490358105,28277.748561061653
2019-07-11,23214.98588048132,18519.377382906583,27927.21806718451
2019-07-12,22439.246578858387,17917.262610065096,27159.76863443078
2019-07-13,14180.104806872401,9254.33597443216,19075.703160014953
2019-07-14,12654.274845189331,8040.556662161465,17448.7101617918
2019-07-15,21507.21040884711,17331.05646718621,26279.571413451195
2019-07-16,23694.245184097097,19193.59074340105,28087.1529396118
2019-07-17,23850.455299904585,19203.60750335316,28584.334928963952
2019-07-18,23716.989171119214,19040.440654711012,28417.49625310846
2019-07-19,23050.578750969406,18056.301329879207,27531.75226064383
2019-07-20,14887.05962272669,9966.38502335912,19753.248575178302
2019-07-21,13441.236376139004,8983.939212611736,18242.042737171654
2019-07-22,22356.962833140435,17915.770578378728,26756.012640919867
2019-07-23,24588.315335143026,19748.095110526254,29348.230209013756
2019-07-24,24769.48061483912,20421.013542950695,29479.828484023867
2019-07-25,24641.103183447336,20215.632488563475,29134.53063614523
2019-07-26,23959.805935666584,19352.806275597944,28434.568388832588
2019-07-27,15761.711242641639,11350.009957383905,20210.22001718541
2019-07-28,14262.298997536021,9541.713495492433,18680.976107163944
2019-07-29,23106.47137301349,18410.74625456527,28036.173628522163
2019-07-30,25249.702869417022,20609.29387914054,29691.934608780077
2019-07-31,25327.89770379393,20774.44290310226,30164.760869827252
2019-08-01,25083.70014906101,20616.894353116433,29815.566417553102
2019-08-02,24275.972336979386,19721.037991574052,28851.824241544582
2019-08-03,15943.267724289144,11016.25882452824,20562.122233981634
2019-08-04,14303.637711222653,9813.689046160493,18876.24965648278
2019-08-05,23004.642271861736,18185.32879602461,27519.632021016496
2019-08-06,25004.444325326684,20107.093812177132,29726.949281271667
2019-08-07,24941.61107658576,20105.93365768129,29589.58087574828
2019-08-08,24561.369116295387,19742.217059974155,29366.426793428276
2019-08-09,23625.02895249155,18950.30828928602,28398.80921659008
2019-08-10,15173.408286535701,10499.218100981903,19726.13073473999
2019-08-11,13426.592567939406,8807.596117129837,18044.032845462953
2019-08-12,22033.90464268106,17301.539140808218,26470.73696184569
2019-08-13,23954.96407090322,19571.302711476692,28426.420597545603
2019-08-14,23829.460064301664,19045.373678791293,28357.967861595316
2019-08-15,23403.38541269204,18905.78298751866,28244.274388007576
2019-08-16,22438.447502451727,18061.582544247944,27322.790107683628
2019-08-17,13975.486007864904,9289.39767458831,18719.308728302516
2019-08-18,12234.235893755977,7398.353183450454,16618.46333425258
2019-08-19,20863.30748008731,16438.244975648588,25060.158163723085
2019-08-20,22821.263915221527,18343.45735240958,27613.769920114813
2019-08-21,22746.419616666117,18064.7009090822,27246.609870828117
2019-08-22,22383.106505563424,18042.619656481573,26730.877906451853
2019-08-23,21491.12345069275,17058.855261630753,26168.06552964132
2019-08-24,13109.197688968114,8414.56425355538,17562.07958297851
2019-08-25,11454.79593383021,6918.536666335971,16351.971485042046
2019-08-26,20174.155902926643,15760.422073845824,24492.177380451256
2019-08-27,22223.417519027098,17708.940665029364,26659.73302301186
2019-08-28,22238.476200492758,17200.652896259166,26695.376740724412
2019-08-29,21961.303897190657,16871.369896584773,26514.360838551605
2019-08-30,21149.452114460986,16641.09457806567,25664.710533278332
2019-08-31,12839.564539212839,8407.026007850667,17776.305677764525
2019-09-01,11247.235869365988,6647.0243280509685,15848.33658450738
2019-09-02,20017.086548570387,15650.563326713502,24734.668535884903
2019-09-03,22103.931686602467,17756.414262713617,26379.30829704448
2019-09-04,22142.66576320151,17842.831143212068,26674.267251237627
2019-09-05,21874.60804630579,17090.099267992475,26493.96051018519
2019-09-06,21057.022400243546,16537.644331469335,25806.481814437157
2019-09-07,12726.638684827496,8277.52621000545,17220.850785954335
2019-09-08,11099.512102648365,6409.0555251551,15718.012169065316
2019-09-09,19821.090112578728,15276.815756146618,24842.237304448103
2019-09-10,21847.365315779687,17064.413553410443,26260.528991737247
2019-09-11,21814.736169575644,17188.362794456723,26181.65907057772
2019-09-12,21466.320923265943,17077.878816419605,25840.35007935564
2019-09-13,20561.43906582546,15901.584809000486,25029.856958354376
2019-09-14,12139.088256508654,7765.313917164547,16423.036590818774
2019-09-15,10417.754004543383,5841.9273459544675,15060.24971689915
2019-09-16,19045.422746769695,14500.051764732578,23521.8478578162
2019-09-17,20980.677860989585,16299.648112773806,25877.779705506084
2019-09-18,20862.501680850793,16457.10691689515,25712.489339538603
2019-09-19,20436.530170413364,15919.076561320784,24806.579177363732
2019-09-20,19464.47583979103,14924.41877843223,23959.34795198426
2019-09-21,10987.54816506863,6501.719639785955,15486.988447075475
2019-09-22,9226.210043186538,4452.9226991790665,13641.848981929888
2019-09-23,17830.142140878957,12942.893914181352,22347.52017794637
2019-09-24,19759.29580331242,14928.039840052657,24107.0346566995
2019-09-25,19653.65860973121,14837.957397163307,24032.45011633158
2019-09-26,19259.480124454345,14597.957216463392,23955.55497116975
2019-09-27,18338.674163032352,13716.62868338797,22817.61727932856
2019-09-28,9932.227404638408,5171.383688416622,14479.024845547687
2019-09-29,8259.95326417935,3742.846143469884,12906.006650580395
2019-09-30,16970.463068617613,12474.967403731294,21426.30971878936
2019-10-01,19022.23518603595,14199.813605390504,23234.743756613283
2019-10-02,19053.405969663298,14593.6505716782,23779.874388730997
2019-10-03,18808.029635904655,14278.576150642897,23466.01861772785
2019-10-04,18045.52276766535,13617.720755305167,22619.73978527751
2019-10-05,9804.122457157036,5010.322565161387,14213.716733509893
2019-10-06,8300.696011417636,3466.9424793791713,12965.346055695138
2019-10-07,17180.773120273196,12463.885335903351,21979.230693691872
2019-10-08,19399.67985923828,14949.044036791644,24333.82833677153
2019-10-09,19592.397007345833,14946.181572986747,24480.75459525057
2019-10-10,19499.888340968944,14633.80324444563,23791.59778459977
2019-10-11,18878.613090876806,14451.791687777593,23296.482890875996
2019-10-12,10764.050060309208,6351.654909285404,15390.991121929961
2019-10-13,9370.569831752264,4813.545698576487,14235.375755488636
2019-10-14,18341.52452139429,13924.52718780672,23021.866037371805
2019-10-15,20630.433100362177,16601.42764098036,25155.401830122635
2019-10-16,20870.88352984947,16373.027190454035,25678.55917694606
2019-10-17,20802.896286366788,16277.906835475518,25645.140959993372
2019-10-18,20182.46255641659,15694.963098924958,24661.335196571075
2019-10-19,12045.083889193407,7212.978223698685,16856.9140432938
2019-10-20,10605.649244420474,5518.887893973307,15244.280280094274
2019-10-21,19508.518636517252,14804.956069012342,24443.607668530072
2019-10-22,21708.691379371143,17509.73203827494,26254.110709535387
2019-10-23,21841.680409739063,17267.582159666497,26322.90088772332
2019-10-24,21649.837742792908,16916.29078297869,25975.31304519539
2019-10-25,20891.845053662815,16308.074149918071,25163.630892177356
2019-10-26,12606.197114346189,7940.162886550615,17161.032722619082
2019-10-27,11011.01517147815,6637.214039071643,15858.295612646505
2019-10-28,19754.060799075072,15344.127918522236,23901.86811069807
2019-10-29,21793.829721200134,17645.745027275963,26468.863626502825
